DATE,unrate,psr,m2,dspic,pce,reer,ir,ffer,tcs,indpro,ccpi
1981-01-01,7.5,10.9,1612.9,4980.4,1870,,12.56857143,19.08451613,,51.1668,85.4
1981-02-01,7.4,10.8,1608.125,4965,1884.2,,13.19444444,15.93428571,,50.9509,85.9
1981-03-01,7.4,10.8,1629.4,4979,1902.9,,13.11590909,14.70387097,,51.2066,86.4
1981-04-01,7.2,10.9,1665.575,4965.1,1904.4,,13.67952381,15.719,,50.9711,87
1981-05-01,7.5,11,1655.15,4974.8,1913.8,,14.0995,18.51774194,,51.2645,87.8
1981-06-01,7.5,10.8,1664.5,5001.9,1934.5,,13.47227273,19.09966667,,51.5247,88.6
1981-07-01,7.2,12.3,1685.225,5080.8,1942.1,,14.28090909,19.03580645,,51.8727,89.8
1981-08-01,7.4,12,1693.28,5095.9,1966.6,,14.93714286,17.81774194,,51.8156,90.7
1981-09-01,7.6,12.4,1706.15,5087.2,1965.5,,15.32380952,15.874,,51.5692,91.8
1981-10-01,7.9,13,1725.45,5093.8,1963.9,,15.14809524,15.08,,51.1851,92.1
1981-11-01,8.3,13.2,1738.54,5096.9,1970.6,,13.39277778,13.307,,50.5914,92.5
1981-12-01,8.5,12.5,1759.175,5090.2,1988.8,,13.72454545,12.36903226,,50.053,93
1982-01-01,8.6,12.7,1775.325,5096.9,1997.1,,14.594,13.22064516,,49.0358,93.3
1982-02-01,8.9,12.1,1764.7,5110.8,2021.2,,14.42555556,14.77928571,,50.0309,93.8
1982-03-01,9,12.2,1777.7,5110,2024.1,,13.86130435,14.67774194,,49.6876,93.9
1982-04-01,9.3,12.9,1809.5,5160.6,2026.3,,13.87190476,14.937,,49.2266,94.7
1982-05-01,9.4,12.3,1803.18,5139,2044.5,,13.6225,14.45483871,,48.8924,95.4
1982-06-01,9.6,12.3,1822.575,5110.7,2048.1,,14.29954545,14.15266667,,48.7588,96.1
1982-07-01,9.8,12.5,1834.9,5157,2072.2,,13.94619048,12.58677419,,48.5887,96.7
1982-08-01,9.8,12.6,1843.58,5164.7,2080.1,,13.055,10.11903226,,48.1582,97.1
1982-09-01,10.1,11.8,1858.95,5162.4,2104.6,,12.33904762,10.30966667,,48.0164,97.2
1982-10-01,10.4,11.3,1873.8,5156.3,2125.8,,10.9065,9.707096774,,47.571,97.5
1982-11-01,10.8,10.9,1887.42,5176.1,2149.3,,10.55052632,9.196333333,,47.4235,97.3
1982-12-01,10.8,10.9,1909.925,5200.2,2161.6,,10.54,8.945483871,,47.0712,97.2
1983-01-01,10.4,11.1,1960.76,5217.2,2174,,10.45714286,8.683225806,,47.9518,97.6
1983-02-01,10.4,11.1,1985.75,5218.8,2177,,10.72473684,8.508928571,,47.6648,98
1983-03-01,10.3,10.6,2008.65,5243.3,2202.8,,10.50652174,8.766129032,,48.054,98.2
1983-04-01,10.2,10.3,2033.725,5254.4,2226.4,,10.4,8.802,,48.6536,98.6
1983-05-01,10.1,9.9,2030.14,5264.8,2245.9,,10.38,8.63,,48.9668,98.9
1983-06-01,10.1,9.1,2051.875,5268.9,2276,,10.84863636,8.982,,49.251,99.2
1983-07-01,9.4,9.6,2068.875,5335.3,2304.4,,11.377,9.367741935,,49.9861,99.8
1983-08-01,9.5,9.2,2071.12,5325.3,2320.4,,11.84608696,9.558387097,,50.5862,100.1
1983-09-01,9.2,9.6,2080.55,5364.1,2334.9,,11.65380952,9.448,,51.3227,100.5
1983-10-01,8.8,9.7,2099.3,5412.5,2357.6,,11.541,9.476129032,,51.714,101
1983-11-01,8.5,10.3,2117.8,5459.7,2366.3,,11.69,9.34,,51.9425,101.5
1983-12-01,8.3,10.1,2130.975,5509.4,2393.6,,11.82952381,9.471290323,,52.1897,101.8
1984-01-01,8,10,2144.94,5535.1,2419.4,,11.67428571,9.558387097,,53.2371,102.5
1984-02-01,7.8,11.7,2147.15,5568.2,2403.5,,11.84210526,9.587586207,,53.4741,102.8
1984-03-01,7.8,11.5,2166.25,5605.1,2431.6,,12.31909091,9.913225806,,53.7313,103.2
1984-04-01,7.7,11.5,2192.6,5643.8,2457.5,,12.6335,10.291,,54.0454,103.7
1984-05-01,7.4,11.1,2190.575,5652.5,2474.5,,13.40863636,10.31935484,,54.3263,104.1
1984-06-01,7.2,11.1,2212.925,5690.2,2495.6,,13.56285714,11.06166667,,54.5095,104.5
1984-07-01,7.5,11.6,2225.92,5697.4,2494.6,,13.36238095,11.23419355,,54.6658,105
1984-08-01,7.5,11.8,2229.1,5736.2,2512.2,,12.71608696,11.63709677,,54.7307,105.4
1984-09-01,7.3,11.8,2241.1,5777,2533.8,,12.52263158,11.30266667,,54.5783,105.8
1984-10-01,7.4,11.7,2256.18,5755.4,2531.3,,12.16045455,9.985483871,,54.5549,106.2
1984-11-01,7.2,10.9,2284.375,5780.3,2571.4,,11.57263158,9.425666667,,54.74,106.4
1984-12-01,7.3,11.2,2314.88,5815.5,2582.6,,11.4995,8.381612903,,54.7733,106.8
1985-01-01,7.3,10.3,2341.125,5813.6,2618.8,,11.38428571,8.349032258,,54.7203,107.1
1985-02-01,7.2,9.1,2341.65,5759.7,2640.8,,11.50888889,8.501428571,,54.91,107.7
1985-03-01,7.2,8.7,2357.575,5733,2648.5,,11.8552381,8.577419355,,54.9841,108.1
1985-04-01,7.3,9.9,2377.56,5828.1,2659.5,,11.4347619,8.267333333,,54.8853,108.4
1985-05-01,7.2,11.1,2374.65,5970.2,2696.4,,10.84681818,7.970967742,,54.952,108.8
1985-06-01,7.4,9.6,2408.675,5844.8,2689.4,,10.156,7.533333333,,54.9269,109.1
1985-07-01,7.4,9.1,2431.96,5857.2,2715.7,,10.30681818,7.883870968,,54.642,109.4
1985-08-01,7.1,8.2,2442.2,5852.9,2752.1,,10.33181818,7.898387097,,54.8269,109.8
1985-09-01,7.1,7.3,2450.68,5877.9,2794.7,,10.37315789,7.921333333,,55.0447,110
1985-10-01,7.1,9.1,2466.9,5907,2755.8,,10.23681818,7.986451613,,54.8418,110.5
1985-11-01,7,9,2479,5915.8,2771.1,,9.781578947,8.050666667,,55.0381,111.1
1985-12-01,7,8.6,2500.78,5951.1,2811.3,,9.259047619,8.274516129,,55.5958,111.4
1986-01-01,6.7,8.6,2514.975,5961.6,2827.1,,9.193809524,8.14483871,,55.8793,111.9
1986-02-01,7.2,9.3,2500.425,5992.4,2820.2,,8.704210526,7.86,,55.4963,112.2
1986-03-01,7.2,9.9,2524.26,6053.6,2823.6,,7.7785,7.479032258,,55.097,112.5
1986-04-01,7.1,9.7,2565.775,6076.8,2835.2,,7.299090909,6.988,,55.16,112.9
1986-05-01,7.2,9.3,2568.25,6082.8,2857.5,,7.70952381,6.852903226,,55.2556,113.1
1986-06-01,7.2,9.4,2601.54,6078.3,2861.7,,7.79952381,6.916666667,,55.0449,113.4
1986-07-01,7,9.3,2633,6110.2,2881.2,,7.303181818,6.557096774,,55.3725,113.8
1986-08-01,6.9,9,2644.425,6119.3,2898.6,,7.165714286,6.170645161,,55.2845,114.2
1986-09-01,7,7.2,2658.02,6124.9,2971.8,,7.447619048,5.890333333,,55.4459,114.6
1986-10-01,7,8.4,2684.65,6121.2,2932.9,,7.426363636,5.845806452,,55.6766,115
1986-11-01,6.9,8.8,2700.225,6125.2,2928.4,,7.250555556,6.039333333,,55.8828,115.3
1986-12-01,6.6,7,2733.52,6135.8,2997.1,,7.112727273,6.907741935,,56.4269,115.6
1987-01-01,6.6,9.7,2760.925,6159.5,2935.5,,7.0845,6.426451613,,56.2123,115.9
1987-02-01,6.6,8.5,2734.375,6192.1,3001.7,,7.250526316,6.101071429,,56.9589,116.2
1987-03-01,6.6,8.5,2744.68,6200,3013.3,,7.248636364,6.128387097,,57.0365,116.6
