Date,France: CAC 40,UK: FTSE 100,Germany: DAX,US: S&P 500,Canada: TSX Composite,Japan: Nikkei 225
2016-01-04,4522.4501953125,6093.39990234375,10283.4404296875,2012.6600341796875,12927.2001953125,18450.98046875
2016-01-05,4537.6298828125,6137.2001953125,10310.099609375,2016.7099609375,12920.099609375,18374.0
2016-01-06,4480.47021484375,6073.39990234375,10214.01953125,1990.260009765625,12726.7998046875,18191.3203125
2016-01-07,4403.580078125,5954.10009765625,9979.849609375,1943.0899658203125,12448.2001953125,17767.33984375
2016-01-08,4333.759765625,5912.39990234375,9849.33984375,1922.030029296875,12445.5,17697.9609375
2016-01-12,4378.75,5929.2001953125,9985.4296875,1938.6800537109375,12373.900390625,17218.9609375
2016-01-13,4391.93994140625,5961.0,9960.9599609375,1890.280029296875,12170.400390625,17715.630859375
2016-01-14,4312.89013671875,5918.2001953125,9794.2001953125,1921.8399658203125,12336.0,17240.94921875
2016-01-15,4210.16015625,5804.10009765625,9545.26953125,1880.3299560546875,12073.5,17147.109375
2016-01-19,4272.259765625,5876.7998046875,9664.2099609375,1881.3299560546875,12002.2001953125,17048.369140625
2016-01-20,4124.9501953125,5673.60009765625,9391.6396484375,1859.3299560546875,11843.099609375,16416.189453125
2016-01-21,4206.39990234375,5773.7998046875,9574.16015625,1868.989990234375,12035.900390625,16017.259765625
2016-01-22,4336.68994140625,5900.0,9764.8798828125,1906.9000244140625,12389.599609375,16958.529296875
2016-01-25,4311.330078125,5877.0,9736.150390625,1877.0799560546875,12143.2001953125,17110.91015625
2016-01-26,4356.81005859375,5911.5,9822.75,1903.6300048828125,12331.2998046875,16708.900390625
2016-01-27,4380.35986328125,5990.39990234375,9880.8203125,1882.949951171875,12377.7998046875,17163.919921875
2016-01-28,4322.16015625,5931.7998046875,9639.58984375,1893.3599853515625,12591.900390625,17041.44921875
2016-01-29,4417.02001953125,6083.7998046875,9798.1103515625,1940.239990234375,12822.099609375,17518.30078125
2016-02-01,4392.330078125,6060.10009765625,9757.8798828125,1939.3800048828125,12674.400390625,17865.23046875
2016-02-02,4283.990234375,5922.0,9581.0400390625,1903.030029296875,12442.2998046875,17750.6796875
2016-02-03,4226.9599609375,5837.10009765625,9434.8203125,1912.530029296875,12593.0,17191.25
2016-02-04,4228.52978515625,5898.7998046875,9393.3603515625,1915.449951171875,12774.5,17044.990234375
2016-02-05,4200.669921875,5848.10009765625,9286.23046875,1880.050048828125,12764.0,16819.58984375
2016-02-08,4066.31005859375,5689.39990234375,8979.3603515625,1853.43994140625,12535.400390625,17004.30078125
2016-02-09,3997.5400390625,5632.2001953125,8879.400390625,1852.2099609375,12282.7001953125,16085.4404296875
2016-02-10,4061.199951171875,5672.2998046875,9017.2900390625,1851.8599853515625,12185.7001953125,15713.3896484375
2016-02-12,3995.06005859375,5707.60009765625,8967.509765625,1864.780029296875,12381.2001953125,14952.6103515625
2016-02-16,4110.66015625,5862.2001953125,9135.1103515625,1895.5799560546875,12555.0,16054.4296875
2016-02-17,4233.47021484375,6030.2998046875,9377.2099609375,1926.8199462890625,12867.2001953125,15836.3603515625
2016-02-18,4239.759765625,5972.0,9463.6396484375,1917.8299560546875,12931.400390625,16196.7998046875
2016-02-19,4223.0400390625,5950.2001953125,9388.0498046875,1917.780029296875,12813.400390625,15967.169921875
2016-02-22,4298.7001953125,6037.7001953125,9573.58984375,1945.5,12845.599609375,16111.0498046875
2016-02-23,4238.419921875,5962.2998046875,9416.76953125,1921.27001953125,12763.400390625,16052.0498046875
2016-02-24,4155.33984375,5867.2001953125,9167.7998046875,1929.800048828125,12740.2998046875,15915.7900390625
2016-02-25,4248.4501953125,6012.7998046875,9331.48046875,1951.699951171875,12753.599609375,16140.33984375
2016-02-26,4314.56982421875,6096.0,9513.2998046875,1948.050048828125,12797.7998046875,16188.41015625
2016-02-29,4353.5498046875,6097.10009765625,9495.400390625,1932.22998046875,12860.400390625,16026.759765625
2016-03-01,4406.83984375,6152.89990234375,9717.16015625,1978.3499755859375,12982.099609375,16085.509765625
2016-03-02,4424.89013671875,6147.10009765625,9776.6201171875,1986.449951171875,13017.900390625,16746.55078125
2016-03-03,4416.080078125,6130.5,9751.919921875,1993.4000244140625,13123.7001953125,16960.16015625
2016-03-04,4456.6201171875,6199.39990234375,9824.169921875,1999.989990234375,13212.5,17014.779296875
2016-03-07,4442.2900390625,6182.39990234375,9778.9296875,2001.760009765625,13383.599609375,16911.3203125
2016-03-08,4404.02001953125,6125.39990234375,9692.8203125,1979.260009765625,13311.099609375,16783.150390625
2016-03-09,4425.64990234375,6146.2998046875,9723.08984375,1989.260009765625,13392.900390625,16642.19921875
2016-03-10,4350.35009765625,6036.7001953125,9498.150390625,1989.5699462890625,13379.099609375,16852.349609375
2016-03-11,4492.7900390625,6139.7998046875,9831.1298828125,2022.18994140625,13522.0,16938.869140625
2016-03-14,4506.58984375,6174.60009765625,9990.259765625,2019.6400146484375,13477.5,17233.75
2016-03-15,4472.6298828125,6140.0,9933.849609375,2015.9300537109375,13400.2998046875,17117.0703125
2016-03-16,4463.0,6175.5,9983.41015625,2027.219970703125,13478.099609375,16974.44921875
2016-03-17,4442.89013671875,6201.10009765625,9892.2001953125,2040.5899658203125,13621.2998046875,16936.380859375
2016-03-18,4462.509765625,6189.60009765625,9950.7998046875,2049.580078125,13497.099609375,16724.810546875
2016-03-22,4431.97021484375,6192.7001953125,9990.0,2049.800048828125,13493.5,17048.55078125
2016-03-23,4423.97998046875,6199.10009765625,10022.9296875,2036.7099609375,13379.5,17000.98046875
2016-03-24,4329.68017578125,6106.5,9851.349609375,2035.93994140625,13358.099609375,16892.330078125
2016-03-29,4366.669921875,6105.89990234375,9887.9404296875,2055.010009765625,13426.2001953125,17103.529296875
2016-03-30,4444.419921875,6203.2001953125,10046.6103515625,2063.949951171875,13504.0,16878.9609375
2016-03-31,4385.06005859375,6174.89990234375,9965.509765625,2059.739990234375,13494.400390625,16758.669921875
2016-04-01,4322.240234375,6146.10009765625,9794.6396484375,2072.780029296875,13440.400390625,16164.16015625
2016-04-04,4345.22021484375,6164.7001953125,9822.080078125,2066.1298828125,13336.2001953125,16123.26953125
2016-04-05,4250.27978515625,6091.2001953125,9563.3603515625,2045.1700439453125,13304.7001953125,15732.8203125
2016-04-06,4284.64013671875,6161.60009765625,9624.509765625,2066.659912109375,13347.5,15715.3603515625
2016-04-07,4245.91015625,6136.89990234375,9530.6201171875,2041.9100341796875,13266.400390625,15749.83984375
2016-04-08,4303.1201171875,6204.39990234375,9622.259765625,2047.5999755859375,13396.7001953125,15821.51953125
2016-04-11,4312.6298828125,6200.10009765625,9682.990234375,2041.989990234375,13422.7998046875,15751.1298828125
2016-04-12,4345.91015625,6242.39990234375,9761.4697265625,2061.719970703125,13581.400390625,15928.7900390625
2016-04-13,4490.31005859375,6362.89990234375,10026.099609375,2082.419921875,13671.400390625,16381.2197265625
2016-04-14,4511.509765625,6365.10009765625,10093.650390625,2082.780029296875,13668.2998046875,16911.05078125
2016-04-15,4495.169921875,6343.7998046875,10051.5703125,2080.72998046875,13637.2001953125,16848.029296875
2016-04-18,4506.83984375,6353.5,10120.3095703125,2094.340087890625,13719.7998046875,16275.9501953125
2016-04-19,4566.47998046875,6405.39990234375,10349.58984375,2100.800048828125,13867.2998046875,16874.439453125
2016-04-20,4591.919921875,6410.2998046875,10421.2900390625,2102.39990234375,13911.2998046875,16906.5390625
2016-04-21,4582.830078125,6381.39990234375,10435.73046875,2091.47998046875,13881.2001953125,17363.619140625
2016-04-22,4569.66015625,6310.39990234375,10373.490234375,2091.580078125,13874.0,17572.490234375
2016-04-25,4546.1201171875,6260.89990234375,10294.349609375,2087.7900390625,13796.0,17439.30078125
2016-04-26,4533.18017578125,6284.5,10259.58984375,2091.699951171875,13809.400390625,17353.279296875
2016-04-27,4559.39990234375,6319.89990234375,10299.830078125,2095.14990234375,13887.7001953125,17290.490234375
2016-04-28,4557.35986328125,6322.39990234375,10321.150390625,2075.81005859375,13886.400390625,16666.05078125
2016-05-06,4301.240234375,6125.7001953125,9869.9501953125,2057.139892578125,13701.5,16106.7197265625
2016-05-09,4322.81005859375,6114.7998046875,9980.490234375,2058.68994140625,13563.7998046875,16216.0302734375
2016-05-10,4338.2099609375,6156.7001953125,10045.4404296875,2084.389892578125,13775.2001953125,16565.189453125
2016-05-11,4316.669921875,6162.5,9975.3203125,2064.4599609375,13788.2001953125,16579.009765625
2016-05-12,4293.27001953125,6104.2001953125,9862.1201171875,2064.110107421875,13787.7998046875,16646.33984375
2016-05-13,4319.990234375,6138.5,9952.900390625,2046.6099853515625,13748.599609375,16412.2109375
2016-05-17,4297.56982421875,6167.7998046875,9890.1904296875,2047.2099609375,13917.099609375,16652.80078125
2016-05-18,4319.2998046875,6165.7998046875,9943.23046875,2047.6300048828125,13826.0,16644.689453125
2016-05-19,4282.5400390625,6053.39990234375,9795.8896484375,2040.0400390625,13817.2998046875,16646.66015625
2016-05-20,4353.89990234375,6156.2998046875,9916.01953125,2052.320068359375,13919.599609375,16736.349609375
2016-05-24,4431.52001953125,6219.2998046875,10057.3095703125,2076.06005859375,13952.900390625,16498.759765625
2016-05-25,4481.64013671875,6262.89990234375,10205.2099609375,2090.5400390625,14053.7001953125,16757.349609375
2016-05-26,4512.64013671875,6265.7001953125,10272.7099609375,2090.10009765625,14049.2001953125,16772.4609375
2016-05-27,4514.740234375,6270.7998046875,10286.3095703125,2099.06005859375,14105.2001953125,16834.83984375
2016-05-31,4505.6201171875,6230.7998046875,10262.740234375,2096.949951171875,14065.7998046875,17234.98046875
2016-06-01,4475.39013671875,6191.89990234375,10204.4404296875,2099.330078125,14063.5,16955.73046875
2016-06-02,4466.0,6185.60009765625,10208.0,2105.260009765625,14137.0,16562.55078125
2016-06-03,4421.77978515625,6209.60009765625,10103.259765625,2099.1298828125,14226.7998046875,16642.23046875
2016-06-06,4423.3798828125,6273.39990234375,10121.080078125,2109.409912109375,14276.2001953125,16580.029296875
2016-06-07,4475.85986328125,6284.5,10287.6796875,2112.1298828125,14365.599609375,16675.44921875
2016-06-08,4448.72998046875,6301.5,10217.0302734375,2119.1201171875,14313.099609375,16830.919921875
2016-06-09,4405.60986328125,6231.89990234375,10088.8701171875,2115.47998046875,14240.0,16668.41015625
2016-06-10,4306.72021484375,6115.7998046875,9834.6201171875,2096.070068359375,14037.5,16601.359375
2016-06-13,4227.02001953125,6045.0,9657.4404296875,2079.06005859375,13993.900390625,16019.1796875
2016-06-14,4130.330078125,5923.5,9519.2001953125,2075.320068359375,13884.2001953125,15859.0
2016-06-15,4171.580078125,5966.7998046875,9606.7099609375,2071.5,13923.5,15919.580078125
2016-06-16,4153.009765625,5950.5,9550.4697265625,2077.989990234375,13882.400390625,15434.1396484375
2016-06-17,4193.830078125,6021.10009765625,9631.3603515625,2071.219970703125,13901.7998046875,15599.66015625
2016-06-20,4340.759765625,6204.0,9962.01953125,2083.25,14015.099609375,15965.2998046875
